split,task_type,labels,stem,thompson_best_f1,random_best_f1,delta_best_f1,thompson_best_f1_macro,random_best_f1_macro,delta_best_f1_macro,thompson_best_acc,random_best_acc,delta_best_acc,thompson_pseudo_agreement,random_pseudo_agreement,thompson_sample_positive_rate,random_sample_positive_rate,pool_positive_rate
ModApte,binary,earn,reuters_modapte_earn_train,0.9090354338065837,0.8939989715966931,0.015036462209890633,,0.8777641170710477,,0.9111111111111111,0.8958904109589041,0.015220700152207,0.840010206685379,0.8102652825836217,0.28170451645828015,0.2497116493656286,0.29573777358885744
ModApte,multiclass,multiclass_6cls,reuters_modapte_multiclass_6cls_train,0.07342125398740569,0.03620179602603366,0.03721945796137203,0.06164747407424731,0.03180728928113946,0.02984018479310785,0.1178082191780822,0.045357686453576865,0.07245053272450533,0.121875,0.10793237971391417,,,
ModHayes,binary,earn,reuters_modhayes_earn_train,0.984150972748403,0.9831886960391633,0.0009622767092397622,0.8550485916652939,0.8626740415792485,-0.0076254499139546406,0.9847222222222223,0.9819444444444444,0.002777777777777879,0.673,0.852859522487507,0.605,0.20377568017767908,0.19391559377640802
ModLewis,binary,earn,reuters_modlewis_earn_train,0.9176540129577229,0.8885664955426629,0.029087517415059994,0.8577995051210165,0.8059418433449286,0.05185766177608797,0.9173701298701299,0.8891233766233766,0.028246753246753298,0.863,0.8159917990773962,0.212,0.17529472065607382,0.20853640525771674
ModLewis,multiclass,multiclass_6cls,reuters_modlewis_multiclass_6cls_train,0.5130293130522324,0.005914269255649243,0.5071150437965832,0.1282469186105735,0.012018061319332416,0.11622885729124108,0.6131493506493506,0.01461038961038961,0.598538961038961,0.1608832807570978,0.10357327809425168,,,
